https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD010288.pub5/full|Allergy & intolerance|Anti‐IgE therapy for allergic bronchopulmonary aspergillosis in people with cystic fibrosis|Kana R Jat, Dinesh K Walia, Anju Khairwa|2021-09-22

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD013682.pub2/full|Allergy & intolerance|Whole‐cell pertussis vaccine in early infancy for the prevention of allergy in children|Gladymar Perez Chacon, Jessica Ramsay, Christopher G Brennan-Jones, Marie J Estcourt, Peter Richmond, Patrick Holt, Tom Snelling|2021-09-06

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD002777.pub2/full|Allergy & intolerance|High versus low medium chain triglyceride content of formula for promoting short‐term growth of preterm infants|Laura Perretta, Laila Ouldibbat, James I Hagadorn, Heather L Brumberg|2021-02-23

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD011293.pub3/full|Allergy & intolerance|Sublingual immunotherapy for asthma|Rebecca Fortescue, Kayleigh M Kew, Marco Shiu Tsun Leung|2020-09-14

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD007263.pub3/full|Allergy & intolerance|Dilute versus full‐strength formula in exclusively formula‐fed preterm or low birth weight infants|Fauziah Basuki, Diah R Hadiati, Tari Turner, Steve McDonald, Mohammad Hakimi|2019-06-27

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD006135.pub3/full|Allergy & intolerance|Probiotics for treating eczema|Areti Makrgeorgou, Jo Leonardi‐Bee, Fiona J Bath‐Hextall, Dedee F Murrell, Mimi LK Tang, Amanda Roberts, Robert J Boyle|2018-11-21

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD003664.pub6/full|Allergy & intolerance|Infant formulas containing hydrolysed protein for prevention of allergic disease|David A Osborn, John KH Sinn, Lisa J Jones|2018-10-19

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD008263.pub3/full|Allergy & intolerance|Topical and systemic antifungal therapy for the symptomatic treatment of chronic rhinosinusitis|Peta‐Lee Sacks, Richard J Harvey, Janet Rimmer, Richard M Gallagher, Raymond Sacks|2018-09-05

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD012597.pub2/full|Allergy & intolerance|Saline irrigation for allergic rhinitis|Karen Head, Kornkiat Snidvongs, Simon Glew, Glenis Scadding, Anne GM Schilder, Carl Philpott, Claire Hopkins|2018-06-22

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD004414.pub3/full|Allergy & intolerance|Interventions for preventing occupational irritant hand dermatitis|Andrea Bauer, Henriette Rönsch, Peter Elsner, Daan Dittmar, Cathy Bennett, Marie‐Louise A Schuttelaar, Judit Lukács, Swen Malte John, Hywel C Williams|2018-04-30

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD010638.pub3/full|Allergy & intolerance|Oral and sublingual immunotherapy for egg allergy|Olga Romantsik, Maria Angela Tosca, Simona Zappettini, Maria Grazia Calevo|2018-04-20

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD002204.pub4/full|Allergy & intolerance|Antifungal therapies for allergic bronchopulmonary aspergillosis in people with cystic fibrosis|Heather E Elphick, Kevin W Southern|2016-11-08

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD010112.pub2/full|Allergy & intolerance|Polyunsaturated fatty acid supplementation in infancy for the prevention of allergy|Tim Schindler, John KH Sinn, David A Osborn|2016-10-28

